Datetime,Hourly Global Radiation (KJ/m2),Hourly Maximum Gust (kn),Hourly Mean Wind Direction (o),Hourly Mean Windspeed (kn),Hourly Pressure at Mean Sea Level (hPa),Hourly Rainfall Total (mm),Hourly Relative Humidity (%),Hourly Snow Depth (cm),Hourly Temperature (C),"Hourly Total Cloud Cover (oktas)
",Hourly Visibility (dm)
2013-01-01 00:00:00,0.0,13.200000000000001,232.0,7.8,999.4,0.0,92.08571428571429,0.0,8.914285714285715,8.0,2133.3333333333335
2013-01-01 01:00:00,0.0,13.6,236.0,8.0,999.675,0.0,91.04285714285713,0.0,8.785714285714286,8.0,1766.6666666666667
2013-01-01 02:00:00,0.0,13.200000000000001,246.0,7.6000000000000005,999.975,0.19999999999999998,92.68571428571428,0.0,8.514285714285714,8.0,1333.3333333333333
2013-01-01 03:00:00,0.0,18.599999999999998,286.0,9.0,1000.725,0.9600000000000001,89.87142857142858,0.0,7.285714285714286,7.666666666666667,4100.0
2013-01-01 04:00:00,0.0,15.4,278.0,7.3999999999999995,1001.3000000000001,0.08,88.58571428571429,0.0,6.7,4.0,5500.0
2013-01-01 05:00:00,0.0,15.200000000000001,280.0,8.4,1002.1,0.0,86.82857142857144,0.0,5.957142857142857,2.0,4666.666666666667
2013-01-01 06:00:00,0.0,14.0,280.0,8.2,1003.125,0.0,88.67142857142858,0.0,4.814285714285715,0.6666666666666666,5000.0
2013-01-01 07:00:00,0.0,13.4,270.0,7.6000000000000005,1004.0,0.0,88.38571428571427,0.0,4.3,0.6666666666666666,4833.333333333333
2013-01-01 08:00:00,0.0,12.799999999999999,262.0,7.8,1004.975,0.0,89.28571428571429,0.0,3.842857142857143,0.3333333333333333,4166.666666666667
2013-01-01 09:00:00,40.666666666666664,12.6,254.0,7.2,1006.1,0.0,89.71428571428571,0.0,3.8285714285714283,0.3333333333333333,3833.3333333333335
2013-01-01 10:00:00,332.0,13.200000000000001,254.0,8.4,1007.1,0.0,84.41428571428571,0.0,4.785714285714286,0.3333333333333333,3500.0
2013-01-01 11:00:00,630.6666666666666,17.0,260.0,10.0,1007.875,0.03333333333333333,78.77142857142857,0.0,5.985714285714286,0.3333333333333333,3500.0
2013-01-01 12:00:00,865.3333333333334,16.4,262.0,9.799999999999999,1008.225,0.0,74.01428571428572,0.0,6.871428571428572,0.3333333333333333,3666.6666666666665
